report_role,count,mean,std
top,104,0.1391301282639706,0.10088112516911443
mid,81,0.1381922190960428,0.08387624621742162
adc,90,0.1315046505991076,0.09651743863101206
support,71,0.12342535239389207,0.08539262578880545
jungle,74,0.11319028287948309,0.08844086031656068
