thr,nb
0.05,0.0645933014354067
0.1,0.04545454545454545
0.15,-0.05614973262032086
0.2,-0.056818181818181816
0.25,-0.06060606060606061
0.3,-0.05844155844155844
0.35,-0.07342657342657342
0.39999999999999997,-0.09090909090909088
0.44999999999999996,-0.11157024793388426
0.49999999999999994,-0.13636363636363633
0.5499999999999999,-0.1666666666666666
0.6,-0.06818181818181818
0.65,-0.08441558441558443
0.7,-0.10606060606060605
0.75,-0.13636363636363635
0.7999999999999999,-0.18181818181818174
0.85,0.0
0.9,0.0
0.95,0.0
