thr,nb
0.05,0.03669724770642202
0.1,0.017329255861365953
0.15,-0.0026983270372369153
0.2,-0.011467889908256881
0.25,-0.012232415902140671
0.3,-0.02752293577981652
0.35,-0.019760056457304165
0.39999999999999997,-0.024464831804281342
0.44999999999999996,-0.02251876563803169
0.49999999999999994,-0.027522935779816512
0.5499999999999999,-0.03363914373088684
0.6,-0.041284403669724766
0.65,-0.05111402359108782
0.7,-0.06422018348623852
0.75,-0.027522935779816515
0.7999999999999999,-0.036697247706422007
0.85,-0.05198776758409786
0.9,0.0
0.95,0.0
