Modelo,R2,MAE,tau
ElasticNetCV,-0.27978811701927625,0.9273208949944729,0.2133443972051176
XGB Base,0.13971490682899362,0.837717703696857,0.2711386677267521
XGB Optuna,0.18847483811495302,0.7876706125799399,0.3760732585240853
