Modelo,R2,MAE,τ
Baseline (k=10),-0.5357932845350113,1.1284415066242217,0.32139683621944704
GridSearch Best,-0.5086906520284389,1.1087174236774444,0.32139683621944704
Optuna Best,-0.5526403651398638,1.062879130244255,0.48010974330191925
