feature,mae_decrease
emg_mean,0.0911894331969224
gsr_spo2_diff,0.03792635734979207
keyboard_mean,0.022504220607476817
spo2_mean,0.018280664057958678
stress_index,0.016533812769563665
heart_rate_mean,0.015422023080644142
gsr_mean,0.01539179614612034
heart_emg_ratio,0.01496668911083436
imu_chair_back_mean,0.009604050947990241
imu_right_hand_mean,0.009381369378143562
