feature,importance
imu_chair_seat_mean,0.16579433204749583
heart_emg_ratio,0.15758205899768032
imu_right_hand_mean,0.15581570284467247
spo2_mean,0.14612378983598112
eye_tracker_mean,0.13833519492355412
stress_index,0.1339700381764322
imu_left_hand_mean,0.12184188122354545
heart_rate_mean,0.12151402561250595
gsr_spo2_diff,0.12086600380196015
gsr_mean,0.11002834513208067
