match,player,emg_mean,emg_std,facial_skin_temperature_mean,facial_skin_temperature_std,gsr_mean,gsr_std,heart_rate_mean,heart_rate_std,imu_chair_back_mean,imu_chair_back_std,imu_chair_seat_mean,imu_chair_seat_std,imu_left_hand_mean,imu_left_hand_std,imu_right_hand_mean,imu_right_hand_std,report_role,report_performance_evaluation,report_performance_evaluation_teammates,report_mental_load,report_sensing_system_disturbance,spo2_mean,spo2_std,eeg_band_power_mean,eeg_band_power_std,eeg_metrics_mean,eeg_metrics_std,eye_tracker_mean,eye_tracker_std,imu_head_mean,imu_head_std,keyboard_mean,keyboard_std,mouse_mean,mouse_std,player_id,team,hours_played,best_rank_achieved,rank_season_9,dominant_hand,emg_gsr_ratio,heart_emg_ratio,gsr_spo2_diff
match_0,player_0,164.56000145397883,93.7660779062506,256.035141471725,138.30261839831738,28007.188865126198,8914.538374658907,282.42294510773536,140.71332075423066,28.09204446117647,16.25920021696952,28.10112295536441,16.36791884209476,47.26186783298905,17.69535278892258,31.57893065134243,17.325821192789984,top,4.0,4.0,1.0,no,288.2658656764423,138.61113573367803,,,,,,,,,,,,,0,amateurs,336,gold,gold,right,0.005875634368039303,1.71623080272327,27718.922999449755
match_0,player_0,164.56000145397883,93.7660779062506,256.035141471725,138.30261839831738,28007.188865126198,8914.538374658907,282.42294510773536,140.71332075423066,28.09204446117647,16.25920021696952,28.10112295536441,16.36791884209476,47.26186783298905,17.69535278892258,31.57893065134243,17.325821192789984,top,4.0,4.0,1.0,no,288.2658656764423,138.61113573367803,,,,,,,,,,,,,0,pros,5000,diamond,diamond,left,0.005875634368039303,1.71623080272327,27718.922999449755
match_0,player_1,165.39309272272703,93.76369887518713,257.0945726077575,137.14027768460073,13384.268972701355,1107.0898442842781,276.44133050486005,140.05574710247635,34.08434426219945,16.492226476427387,48.074643050431916,16.4896118257915,32.69973703982137,17.192588561908543,38.66097487758861,17.46845113543814,adc,4.0,4.0,1.0,a little bit,288.33238008787583,137.1288807642489,423.07139164803186,719.9272520667378,68.04630014843765,39.22706053735896,672.454745370725,329.39169971355653,119.50000862913735,69.10305833998278,239.3379762526096,138.53167387207364,652.1456683719952,364.49219178864035,1,amateurs,1200,gold,gold,right,0.01235727502545762,1.6714200350366482,13095.93659261348
match_0,player_1,165.39309272272703,93.76369887518713,257.0945726077575,137.14027768460073,13384.268972701355,1107.0898442842781,276.44133050486005,140.05574710247635,34.08434426219945,16.492226476427387,48.074643050431916,16.4896118257915,32.69973703982137,17.192588561908543,38.66097487758861,17.46845113543814,adc,4.0,4.0,1.0,a little bit,288.33238008787583,137.1288807642489,423.07139164803186,719.9272520667378,68.04630014843765,39.22706053735896,672.454745370725,329.39169971355653,119.50000862913735,69.10305833998278,239.3379762526096,138.53167387207364,652.1456683719952,364.49219178864035,1,pros,6000,diamond,diamond,right,0.01235727502545762,1.6714200350366482,13095.93659261348
match_0,player_2,164.56103315614408,94.29867191253255,256.56788562577026,137.35997534755825,9555.184262564804,671.9469603024841,,,52.471556983766824,20.762082809853126,48.16099736101637,16.442610741883243,37.43587214616895,17.30430783413694,39.66803934753861,18.74432293267104,mid,5.0,5.0,1.0,a little bit,289.4848482751188,136.6002203770936,,,,,548.895192909924,287.0848867311755,,,239.6494324112735,138.8897333974914,723.5756565175957,395.77977807337464,2,amateurs,1000,platinum,platinum,right,0.017222172656956216,,9265.699414289686
match_0,player_2,164.56103315614408,94.29867191253255,256.56788562577026,137.35997534755825,9555.184262564804,671.9469603024841,,,52.471556983766824,20.762082809853126,48.16099736101637,16.442610741883243,37.43587214616895,17.30430783413694,39.66803934753861,18.74432293267104,mid,5.0,5.0,1.0,a little bit,289.4848482751188,136.6002203770936,,,,,548.895192909924,287.0848867311755,,,239.6494324112735,138.8897333974914,723.5756565175957,395.77977807337464,2,pros,5000,diamond,diamond,right,0.017222172656956216,,9265.699414289686
match_0,player_3,167.0957541777401,98.93539354675544,,,37836.10534319078,3258.9818103016537,277.2897143947484,140.68991201737705,,,,,42.28981042473433,18.693536089420153,46.946092664282794,18.343347499418794,support,5.0,5.0,1.0,a little bit,289.86965588611605,136.7155878040039,,,,,526.5347543785684,281.1062127698163,,,,,,,3,amateurs,400,no_rank,no_rank,right,0.004416304285488395,1.6594659397528964,37546.23568730466
match_0,player_3,167.0957541777401,98.93539354675544,,,37836.10534319078,3258.9818103016537,277.2897143947484,140.68991201737705,,,,,42.28981042473433,18.693536089420153,46.946092664282794,18.343347499418794,support,5.0,5.0,1.0,a little bit,289.86965588611605,136.7155878040039,,,,,526.5347543785684,281.1062127698163,,,,,,,3,pros,10000,master,master,right,0.004416304285488395,1.6594659397528964,37546.23568730466
match_0,player_4,165.7183734274092,94.35371327067082,,,13340.166818499847,694.9473651062037,273.86028993454744,141.23176215679587,44.23857219610017,26.683289732656842,48.74481376950676,16.392950409320804,34.623497027620694,17.99579672584228,33.191746476659986,17.94483770747376,jungle,4.0,5.0,1.0,no,288.96387344503273,138.451596354192,,,,,445.2342496926274,300.31250917749117,,,239.4239300626305,138.66748941576034,1455.332850120436,932.6472092499922,4,amateurs,415,gold,gold,right,0.012422511327607398,1.6525644237145738,13051.202945054814
match_0,player_4,165.7183734274092,94.35371327067082,,,13340.166818499847,694.9473651062037,273.86028993454744,141.23176215679587,44.23857219610017,26.683289732656842,48.74481376950676,16.392950409320804,34.623497027620694,17.99579672584228,33.191746476659986,17.94483770747376,jungle,4.0,5.0,1.0,no,288.96387344503273,138.451596354192,,,,,445.2342496926274,300.31250917749117,,,239.4239300626305,138.66748941576034,1455.332850120436,932.6472092499922,4,pros,7000,diamond,diamond,right,0.012422511327607398,1.6525644237145738,13051.202945054814
